tiempo_s,raw,delta,voltaje_mV,fuerza_N,GAIN,SPS
0.010,-5547,-69,-0.002570,-0.010208,16,100
0.023,-5316,162,0.006035,0.023966,16,100
0.036,-5671,-193,-0.007190,-0.028552,16,100
0.050,-5653,-175,-0.006519,-0.025889,16,100
0.063,-5539,-61,-0.002272,-0.009024,16,100
0.076,-5156,322,0.011995,0.047636,16,100
0.090,-5315,163,0.006072,0.024114,16,100
0.103,-5613,-135,-0.005029,-0.019972,16,100
0.116,-5544,-66,-0.002459,-0.009764,16,100
0.130,-5683,-205,-0.007637,-0.030327,16,100
0.143,-5321,157,0.005849,0.023226,16,100
0.156,-5631,-153,-0.005700,-0.022634,16,100
0.170,-5219,259,0.009649,0.038316,16,100
0.183,-5678,-200,-0.007451,-0.029587,16,100
0.196,-5337,141,0.005253,0.020859,16,100
0.210,-5718,-240,-0.008941,-0.035505,16,100
0.223,-5171,307,0.011437,0.045417,16,100
0.236,-5663,-185,-0.006892,-0.027368,16,100
0.250,-5709,-231,-0.008605,-0.034173,16,100
0.263,-5529,-51,-0.001900,-0.007545,16,100
0.276,-5193,285,0.010617,0.042162,16,100
0.290,-5285,193,0.007190,0.028552,16,100
0.303,-5624,-146,-0.005439,-0.021599,16,100
0.316,-5560,-82,-0.003055,-0.012131,16,100
0.330,-5732,-254,-0.009462,-0.037576,16,100
0.343,-5295,183,0.006817,0.027072,16,100
0.356,-5695,-217,-0.008084,-0.032102,16,100
0.370,-5230,248,0.009239,0.036688,16,100
0.383,-5661,-183,-0.006817,-0.027072,16,100
0.396,-5285,193,0.007190,0.028552,16,100
0.410,-5621,-143,-0.005327,-0.021155,16,100
0.423,-5215,263,0.009798,0.038907,16,100
0.436,-5692,-214,-0.007972,-0.031659,16,100
0.449,-5754,-276,-0.010282,-0.040831,16,100
0.463,-5544,-66,-0.002459,-0.009764,16,100
0.476,-5239,239,0.008903,0.035357,16,100
0.489,-5340,138,0.005141,0.020415,16,100
0.503,-5617,-139,-0.005178,-0.020563,16,100
0.516,-5620,-142,-0.005290,-0.021007,16,100
0.529,-5663,-185,-0.006892,-0.027368,16,100
0.543,-5220,258,0.009611,0.038168,16,100
0.556,-5686,-208,-0.007749,-0.030771,16,100
0.569,-5256,222,0.008270,0.032842,16,100
0.583,-5611,-133,-0.004955,-0.019676,16,100
0.596,-5269,209,0.007786,0.030919,16,100
0.609,-5624,-146,-0.005439,-0.021599,16,100
0.623,-5197,281,0.010468,0.041570,16,100
0.636,-5650,-172,-0.006408,-0.025445,16,100
0.649,-5658,-180,-0.006706,-0.026629,16,100
0.662,-5563,-85,-0.003166,-0.012575,16,100
0.676,-5307,171,0.006370,0.025297,16,100
0.689,-5337,141,0.005253,0.020859,16,100
0.702,-5686,-208,-0.007749,-0.030771,16,100
0.716,-5586,-108,-0.004023,-0.015977,16,100
0.729,-5765,-287,-0.010692,-0.042458,16,100
0.742,-5261,217,0.008084,0.032102,16,100
0.756,-5689,-211,-0.007860,-0.031215,16,100
0.769,-5239,239,0.008903,0.035357,16,100
0.782,-5674,-196,-0.007302,-0.028996,16,100
0.796,-5312,166,0.006184,0.024558,16,100
0.810,-5654,-176,-0.006557,-0.026037,16,100
0.824,-5187,291,0.010841,0.043050,16,100
0.838,-5637,-159,-0.005923,-0.023522,16,100
0.852,-5623,-145,-0.005402,-0.021451,16,100
0.867,-5577,-99,-0.003688,-0.014646,16,100
0.881,-5761,-283,-0.010543,-0.041866,16,100
0.895,-5281,197,0.007339,0.029144,16,100
0.908,-5646,-168,-0.006258,-0.024853,16,100
0.922,-5207,271,0.010096,0.040091,16,100
0.935,-5614,-136,-0.005066,-0.020119,16,100
0.948,-5200,278,0.010356,0.041127,16,100
0.962,-5567,-89,-0.003316,-0.013166,16,100
0.976,-5308,170,0.006333,0.025149,16,100
0.989,-5326,152,0.005662,0.022486,16,100
1.003,-5676,-198,-0.007376,-0.029292,16,100
1.016,-5558,-80,-0.002980,-0.011835,16,100
1.030,-5767,-289,-0.010766,-0.042754,16,100
1.043,-5260,218,0.008121,0.032250,16,100
1.056,-5668,-190,-0.007078,-0.028108,16,100
1.070,-5299,179,0.006668,0.026481,16,100
1.083,-5689,-211,-0.007860,-0.031215,16,100
1.100,-5181,297,0.011064,0.043937,16,100
1.118,-5508,-30,-0.001118,-0.004438,16,100
1.135,-5697,-219,-0.008158,-0.032398,16,100
1.153,-5692,-214,-0.007972,-0.031659,16,100
1.171,-5284,194,0.007227,0.028700,16,100
1.188,-5582,-104,-0.003874,-0.015385,16,100
1.206,-5654,-176,-0.006557,-0.026037,16,100
1.223,-5294,184,0.006855,0.027220,16,100
1.241,-5353,125,0.004657,0.018492,16,100
1.258,-5674,-196,-0.007302,-0.028996,16,100
1.276,-5235,243,0.009052,0.035949,16,100
1.294,-5306,172,0.006408,0.025445,16,100
1.312,-5606,-128,-0.004768,-0.018936,16,100
1.329,-5249,229,0.008531,0.033878,16,100
1.347,-5256,222,0.008270,0.032842,16,100
1.364,-5627,-149,-0.005551,-0.022043,16,100
1.381,-5768,-290,-0.010803,-0.042902,16,100
1.399,-5245,233,0.008680,0.034469,16,100
1.417,-5560,-82,-0.003055,-0.012131,16,100
1.435,-5669,-191,-0.007115,-0.028256,16,100
1.453,-5789,-311,-0.011586,-0.046008,16,100
1.472,-5223,255,0.009499,0.037724,16,100
1.490,-5565,-87,-0.003241,-0.012871,16,100
